Nitrogen,phosphorous,Potassium,temperature,humidity,ph,label,Rainfall Mensuel (mm),Rainfall Annuel (mm),besoin_irrigation
90,42,43,20.87974371,82.00274423,6.502985292000001,rice,206.2,2435.9,0
85,58,41,21.77046169,80.31964408,7.038096361,rice,259.8,1978.3,0
60,55,44,23.00445915,82.3207629,7.840207144,rice,173.4,1402.8,0
74,35,40,26.49109635,80.15836264,6.980400905,rice,158.7,2326.0,0
78,42,42,20.13017482,81.60487287,7.628472891,rice,240.2,2120.5,0
69,37,42,23.05804872,83.37011772,7.073453503,rice,153.1,2460.9,0
69,55,38,22.70883798,82.63941394,5.70080568,rice,274.9,1476.0,0
94,53,40,20.27774362,82.89408619,5.718627177999999,rice,177.3,1438.4,0
89,54,38,24.51588066,83.53521629999999,6.685346424,rice,195.6,1882.2,0
68,58,38,23.22397386,83.03322691,6.336253525,rice,214.8,1578.6,0
91,53,40,26.52723513,81.41753846,5.386167788,rice,241.8,1381.3,0
90,46,42,23.97898217,81.45061596,7.50283396,rice,193.8,1676.3,0
78,58,44,26.80079604,80.88684822,5.108681786,rice,218.4,2220.7,0
93,56,36,24.01497622,82.05687182,6.98435366,rice,180.0,1868.5,0
94,50,37,25.66585205,80.66385045,6.94801983,rice,238.9,1260.4,0
60,48,39,24.28209415,80.30025587,7.042299068999999,rice,241.1,1421.7,0
85,38,41,21.58711777,82.7883708,6.2490506560000005,rice,159.8,2433.6,0
91,35,39,23.79391957,80.41817957,6.970859754,rice,294.8,2250.9,0
77,38,36,21.8652524,80.1923008,5.953933276,rice,195.7,1327.0,0
88,35,40,23.57943626,83.58760316,5.85393208,rice,252.6,1772.2,0
89,45,36,21.32504158,80.47476396,6.442475375,rice,168.3,1843.7,0
76,40,43,25.15745531,83.11713476,5.070175667,rice,155.2,2382.1,0
67,59,41,21.94766735,80.97384195,6.012632591,rice,188.8,2061.3,0
83,41,43,21.0525355,82.67839517,6.254028451,rice,196.8,1876.1,0
98,47,37,23.48381344,81.33265073,7.375482851,rice,232.0,1440.3,0
66,53,41,25.0756354,80.52389148,7.778915154,rice,295.4,2207.7,0
97,59,43,26.35927159,84.04403589,6.2865001760000006,rice,290.9,2363.3,0
97,50,41,24.52922681,80.54498576,7.070959995,rice,239.7,2398.4,0
60,49,44,20.77576147,84.49774397,6.244841491,rice,163.3,1454.8,0
84,51,35,22.30157427,80.64416466,6.043304899,rice,156.8,1622.9,0
73,57,41,21.44653958,84.94375962,5.824709117,rice,208.3,1552.8,0
92,35,40,22.17931888,80.33127223,6.3573893660000005,rice,274.3,1663.8,0
85,37,39,24.52783742,82.73685569,6.364134967999999,rice,192.1,1905.5,0
98,53,38,20.26707606,81.63895217,5.01450727,rice,171.1,2242.9,0
88,54,44,25.7354293,83.88266234,6.149410611,rice,161.2,2483.0,0
95,55,42,26.79533926,82.1480873,5.950660556,rice,265.8,1458.3,0
99,57,35,26.75754171,81.17734011,5.960370061,rice,150.8,2260.1,0
95,39,36,23.86330467,83.15250801,5.561398642,rice,256.0,2147.7,0
60,43,44,21.01944696,82.95221726,7.416245107000001,rice,265.7,1296.3,0
63,44,41,24.17298839,83.7287574,5.583370042,rice,203.8,1350.6,0
62,42,36,22.78133816,82.06719137,6.430010215,rice,279.5,2010.3,0
64,45,43,25.62980105,83.52842314,5.534878156,rice,199.6,1282.6,0
83,60,36,25.59704938,80.14509262,6.903985986,rice,196.6,1622.7,0
82,40,40,23.83067496,84.81360127,6.271478837999999,rice,259.4,2028.8,0
85,52,45,26.31355498,82.36698992,7.224285503,rice,283.1,1813.9,0
91,35,38,24.8972823,80.52586088,6.13428721,rice,167.9,2127.2,0
76,49,42,24.958779,84.47963372,5.206373153,rice,264.1,1929.7,0
74,39,38,23.24113501,84.59201843,7.782051312999999,rice,265.6,1841.9,0
79,43,39,21.66628296,80.70960551,7.062779015,rice,228.4,1755.8,0
88,55,45,24.63544858,80.41363018,7.730367824,rice,153.8,1340.3,0
60,36,43,23.43121862,83.06310136,5.286203711000001,rice,154.7,2027.3,0
76,60,39,20.0454142,80.3477562,6.766240045,rice,197.2,1861.1,0
93,56,42,23.85724032,82.22572988,7.382762603,rice,286.1,1524.1,0
65,60,43,21.97199397,81.89918197,5.658169482000001,rice,211.6,2182.2,0
95,52,36,26.22916897,83.83625819,5.543360237999999,rice,184.3,1300.1,0
75,38,39,23.44676801,84.79352417,6.215109715,rice,193.5,1409.6,0
74,54,38,25.65553461,83.47021081,7.120272972,rice,289.5,2250.6,0
91,36,45,24.44345477,82.45432595,5.950647577000001,rice,245.0,2332.9,0
71,46,40,20.2801937,82.1235421,7.236705436,rice,270.6,1442.5,0
99,55,35,21.7238313,80.2389895,6.501697816,rice,283.9,1901.1,0
72,40,38,20.41447029,82.20802629,7.592490617,rice,271.1,2364.9,0
83,58,45,25.75528612,83.51827127,5.875345751,rice,197.7,1343.1,0
93,58,38,20.61521424,83.77345559,6.932400225,rice,184.2,1755.2,0
70,36,42,21.84106875,80.72886384,6.9462098810000015,rice,272.7,2318.9,0
76,47,42,20.08369642,83.29114712,5.739175027000001,rice,151.0,1864.0,0
99,41,36,24.45802087,82.74835604,6.738652179,rice,212.6,1488.7,0
99,54,37,21.14347496,80.33502926,5.5948196260000005,rice,168.0,1638.9,0
86,59,35,25.78720567,82.11124033,6.946636369,rice,291.4,1620.2,0
69,46,41,23.64124821,80.28597873,5.012139669,rice,227.8,2113.9,0
91,56,37,23.43191632,80.56887849,6.363472207999999,rice,204.5,2463.3,0
61,52,41,24.97669518,83.891805,6.880431223,rice,294.4,1527.3,0
67,45,38,22.72791041,82.17068809999998,7.300410836,rice,224.6,1591.1,0
